-1.22429,-1.672,-2.06707
-1.03396,1.16889,-0.0880867
-1.05921,1.14533,-0.0535621
-1.06009,1.14452,-0.0523345
-1.06309,1.14165,-0.0482136
-1.0631,1.14164,-0.0481761
-1.06453,1.14029,-0.0460999
-1.06632,1.13859,-0.0436495
-1.06286,1.14194,-0.0484373
-1.05879,1.14583,-0.0540181
-1.04995,1.15424,-0.0662316
-1.04401,1.15979,-0.0744058
-1.02613,1.17632,-0.0987417
-1.02028,1.18167,-0.106823
-1.0298,1.17298,-0.0942196
-1.02637,1.17613,-0.0988201
-1.02555,1.17689,-0.0999241
-1.02558,1.17687,-0.099898
-1.02215,1.18,-0.104487
-1.02407,1.17824,-0.101916
-1.02439,1.17794,-0.101456
-1.0262,1.17628,-0.0990057
-1.02346,1.17878,-0.102692
-1.02709,1.17547,-0.0978398
-1.0268,1.17574,-0.0982485
-1.02658,1.17594,-0.0985609
-1.02454,1.1778,-0.101255
-1.02455,1.17779,-0.101267
-1.02362,1.17863,-0.102505
-1.02167,1.18039,-0.105086
-1.02216,1.17994,-0.104428
-1.02501,1.17735,-0.100594
-1.02628,1.17617,-0.0988729
-1.02629,1.17615,-0.0988426
-1.02771,1.17483,-0.0969617
-1.02886,1.17377,-0.0953985
-1.02758,1.17494,-0.0971247
-1.02793,1.17462,-0.0966476
-1.02646,1.17596,-0.0986267
-1.02845,1.17414,-0.0959807
-1.02569,1.17666,-0.0996713
-1.02411,1.17809,-0.101767
-1.02665,1.17577,-0.0983921
-1.02387,1.1783,-0.102122
-1.02632,1.17607,-0.098804
-1.02927,1.17337,-0.0948465
-1.02839,1.17417,-0.0960331
-1.02962,1.17305,-0.094386
-1.02824,1.17431,-0.0962498
-1.02818,1.17436,-0.096298
-1.02907,1.17354,-0.0951163
-1.02837,1.17418,-0.0960667
-1.02753,1.17497,-0.0972119
-1.02851,1.17407,-0.0959096
-1.02817,1.17437,-0.0963565
-1.02868,1.17391,-0.0956689
-1.02795,1.17459,-0.0966702
-1.02623,1.17616,-0.0989498
-1.02792,1.17462,-0.0967043
-1.026,1.17637,-0.0992676
-1.028,1.17454,-0.0965978
-1.02896,1.17366,-0.0953148
-1.02563,1.1767,-0.0997803
-1.02488,1.17737,-0.100795
-1.02677,1.17564,-0.0982537
-1.02578,1.17656,-0.0995715
-1.02477,1.17748,-0.10093
-1.02569,1.17664,-0.0996626
-1.0263,1.17608,-0.0988875
-1.02666,1.17574,-0.0983884
-1.02598,1.17637,-0.0993129
-1.02529,1.17699,-0.100237
-1.02904,1.17356,-0.0952104
-1.02698,1.17544,-0.0979853
-1.02867,1.17389,-0.0957048
-1.02815,1.17434,-0.0963977
-1.02754,1.1749,-0.0972222
-1.03283,1.17001,-0.090137
-1.03957,1.1637,-0.0810784
-1.0567,1.1475,-0.0578366
-1.07637,1.12848,-0.0309168
-1.09426,1.11071,-0.00615068
-1.10548,1.09933,0.00948552
-1.1154,1.08914,0.0233506
-1.11869,1.0857,0.0278975
-1.12066,1.08362,0.0306183
-1.12369,1.08044,0.0348523
-1.12322,1.08089,0.0341131
-1.12166,1.08247,0.031826
-1.12017,1.08396,0.0296961
-1.11816,1.086,0.0268157
-1.11485,1.08933,0.0221129
-1.11379,1.09037,0.0205906
-1.11669,1.08735,0.0246449
-1.11727,1.0867,0.0255365
-1.11998,1.08391,0.0293131
-1.12187,1.0819,0.0320378
-1.11969,1.08409,0.0289749
-1.12223,1.08144,0.0325049
-1.12151,1.08215,0.0314154
-1.12044,1.08321,0.0299371
-1.12012,1.08352,0.0294134
-1.12008,1.08354,0.0293295
-1.12014,1.08346,0.0294364
-1.12051,1.08309,0.0299582
-1.12048,1.0831,0.02998
-1.12194,1.08161,0.0320573
-1.12001,1.08365,0.0293199
-1.11968,1.08401,0.0288914
-1.11668,1.08713,0.0247357
-1.10646,1.09756,0.0104982
-1.10155,1.10261,0.00384705
-1.11185,1.09237,0.0183414
-1.12052,1.0837,0.0303969
-1.1021,1.10262,0.00455732
-1.0798,1.12488,-0.0262485
-1.06871,1.13574,-0.0413477
-1.05608,1.14795,-0.0585359
-1.03753,1.16548,-0.0836242
-1.02124,1.18053,-0.10551
-1.00271,1.19727,-0.130155
-0.980686,1.21664,-0.159138
-0.963817,1.23113,-0.181135
-0.951276,1.24174,-0.197344
-0.936694,1.25382,-0.216147
-0.924027,1.26417,-0.232308
-0.90639,1.27829,-0.254575
-0.90001,1.28335,-0.262585
